"","Target assets","Target turnover","Acquirer assets","Acquirer turnover","Asset intensity","% owned (pre-deal)","% sought","Classified Large","Completed","Deal type: M&A","Listed target","Company takeover","Additional stake","Cross-border","Minority purchase","Tender offer","Majority purchase","Private equity","Same sector","Tgt: Materials","Tgt: Financials","Tgt: Industrials","Tgt: Real Estate"
"Target assets",1,0.82,0.49,0.39,0.28,0.01,-0.17,0.61,-0.16,-0.15,-0.07,-0.15,0.03,0.03,0.12,-0.09,0.01,-0.06,0.13,0.07,0.2,-0.25,0.16
"Target turnover",0.82,1,0.42,0.47,-0.12,-0.01,-0.23,0.52,-0.19,-0.18,-0.07,-0.21,-0.01,0.07,0.13,-0.07,0.04,0,0.03,0.11,0.03,-0.12,-0.16
"Acquirer assets",0.49,0.42,1,0.86,0.29,0.06,-0.01,0.67,-0.06,0.03,-0.06,0,0.08,0.02,0.03,-0.04,0.04,-0.09,0.03,0.03,0.15,-0.07,0.09
"Acquirer turnover",0.39,0.47,0.86,1,-0.11,0.05,-0.02,0.59,-0.08,0.07,-0.09,0,0.05,0.09,-0.01,-0.02,0.11,-0.06,0.04,0.1,0.03,-0.04,-0.12
"Asset intensity",0.28,-0.12,0.29,-0.11,1,-0.02,0.05,0.16,0.05,-0.05,-0.02,0,0.01,0,0.07,-0.05,-0.07,-0.07,0.04,-0.06,0.36,-0.15,0.41
"% owned (pre-deal)",0.01,-0.01,0.06,0.05,-0.02,1,-0.22,0.1,0.18,0.17,0.06,0.13,0.91,-0.07,-0.38,0.36,0.06,-0.07,0,0,-0.06,-0.04,0.02
"% sought",-0.17,-0.23,-0.01,-0.02,0.05,-0.22,1,-0.07,-0.02,0.71,-0.01,0.73,-0.21,0.02,-0.38,0.04,-0.02,0.02,0.08,-0.11,0.04,0.07,0.08
"Classified Large",0.61,0.52,0.67,0.59,0.16,0.1,-0.07,1,-0.02,-0.02,-0.05,-0.03,0.11,-0.09,0.03,-0.03,0,-0.06,0.02,0,0.1,-0.13,0.17
"Completed",-0.16,-0.19,-0.06,-0.08,0.05,0.18,-0.02,-0.02,1,-0.03,0.09,-0.03,0.14,0.05,0.06,0.07,0,0.06,-0.04,0,0.04,0.07,-0.03
"Deal type: M&A",-0.15,-0.18,0.03,0.07,-0.05,0.17,0.71,-0.02,-0.03,1,-0.04,0.81,0.11,-0.02,-0.69,0.18,0.29,-0.04,0.15,-0.08,-0.01,0.04,0.04
"Listed target",-0.07,-0.07,-0.06,-0.09,-0.02,0.06,-0.01,-0.05,0.09,-0.04,1,-0.04,0.08,-0.21,-0.01,0.07,0,-0.14,0.04,0.07,-0.02,-0.04,0.01
"Company takeover",-0.15,-0.21,0,0,0,0.13,0.73,-0.03,-0.03,0.81,-0.04,1,0.08,-0.08,-0.55,0.18,-0.27,-0.03,0.1,-0.12,0.03,0.05,0.09
"Additional stake",0.03,-0.01,0.08,0.05,0.01,0.91,-0.21,0.11,0.14,0.11,0.08,0.08,1,-0.1,-0.37,0.31,0.05,-0.04,-0.01,0.02,-0.07,-0.03,0.03
"Cross-border",0.03,0.07,0.02,0.09,0,-0.07,0.02,-0.09,0.05,-0.02,-0.21,-0.08,-0.1,1,0.11,-0.05,0.06,0.18,0.06,0.12,-0.02,0.04,-0.16
"Minority purchase",0.12,0.13,0.03,-0.01,0.07,-0.38,-0.38,0.03,0.06,-0.69,-0.01,-0.55,-0.37,0.11,1,-0.22,-0.2,0.07,-0.2,0.05,0,-0.03,0
"Tender offer",-0.09,-0.07,-0.04,-0.02,-0.05,0.36,0.04,-0.03,0.07,0.18,0.07,0.18,0.31,-0.05,-0.22,1,0.02,-0.07,-0.02,0.02,-0.04,-0.01,0.03
"Majority purchase",0.01,0.04,0.04,0.11,-0.07,0.06,-0.02,0,0,0.29,0,-0.27,0.05,0.06,-0.2,0.02,1,-0.02,0.06,0.02,-0.03,0,-0.07
"Private equity",-0.06,0,-0.09,-0.06,-0.07,-0.07,0.02,-0.06,0.06,-0.04,-0.14,-0.03,-0.04,0.18,0.07,-0.07,-0.02,1,-0.11,-0.04,-0.04,0.06,-0.05
"Same sector",0.13,0.03,0.03,0.04,0.04,0,0.08,0.02,-0.04,0.15,0.04,0.1,-0.01,0.06,-0.2,-0.02,0.06,-0.11,1,0.06,0.19,-0.19,0.09
"Tgt: Materials",0.07,0.11,0.03,0.1,-0.06,0,-0.11,0,0,-0.08,0.07,-0.12,0.02,0.12,0.05,0.02,0.02,-0.04,0.06,1,-0.22,-0.18,-0.17
"Tgt: Financials",0.2,0.03,0.15,0.03,0.36,-0.06,0.04,0.1,0.04,-0.01,-0.02,0.03,-0.07,-0.02,0,-0.04,-0.03,-0.04,0.19,-0.22,1,-0.17,-0.16
"Tgt: Industrials",-0.25,-0.12,-0.07,-0.04,-0.15,-0.04,0.07,-0.13,0.07,0.04,-0.04,0.05,-0.03,0.04,-0.03,-0.01,0,0.06,-0.19,-0.18,-0.17,1,-0.13
"Tgt: Real Estate",0.16,-0.16,0.09,-0.12,0.41,0.02,0.08,0.17,-0.03,0.04,0.01,0.09,0.03,-0.16,0,0.03,-0.07,-0.05,0.09,-0.17,-0.16,-0.13,1
