Action ID,Deal Type,Announce Date,Deal Status,Deal Attributes,Deal Description,Currency of Deal,Payment Type,Completion/Termination Date,Announced Premium,Percent Owned,Percent Sought,Has Contingency Payment,Target Industry Sector,Acquirer Industry Sector,Adviser Fees Disclosed,Acquirer Legal Adviser,Acquirer Financial Adviser,Nature of Bid,Target Country/Region,Acquirer Country/Region,Target Total Assets Source,Acquirer Total Assets Source,Target Revenue Source,Acquirer Revenue Source,Target Total Assets,Target Revenue,Acquirer Total Assets,Acquirer Revenue,Regime No.,Regime Start,Regime End,Intermediate Combined (R'm),Intermediate Target (R'm),Large Combined (R'm),Large Target (R'm),CPI Index (Dec 2024=100),CPI YoY %,Nominal GDP (R million),"Real GDP (R million, 2015 prices)","GDP Deflator (Index, 2015=100)",GDP Deflator YoY %,Market Capitalisation (R million),Classification,Year,Data Completeness,"Combined Limb Value (best of 4 routes, R'm)","Target Limb Value (max of assets/turnover, R'm)",Ownership Type,Attr: Company Takeover,Attr: Additional Stake Purchase,Attr: Cross Border,Attr: Minority Purchase,Attr: Tender Offer,Attr: Majority Purchase,Attr: Private Equity,Attr: Mandatory Offer,Attr: Private Placement,Attr: Squeeze Out,Attr: PE Buyout,Attr: Competing Bid,Attr: PE Seller,Attr: Option Agreement,Attr: Going Private,Attr: PE Exit,Attr: Government Privatization,Attr: Reverse Merger,Attr: Recapitalization,Attr: Asset Sale,Attr: Bankruptcy/Liquidation,Attr: Private Equity Related,Attr: Any Stake-Change Type Tagged,Attr: Formal Offer Process (Tender/Mandatory/Squeeze Out)
100026324,INV,2014/12/15,Completed,Minority Purchase,Ukhamba Holdings Pty Ltd sold a minority stake in Distribution and Warehousing Network Ltd to Distribution and Warehousing Network Ltd. The transaction was completed on 12/15/2014.,ZAR,Cash,2014/12/15,,0.000000,32.250000,No,Consumer Discretionary,Consumer Discretionary,N,Webber Wentzel,PwC,Friendly,South Africa,South Africa,Point-in-time,Point-in-time,Point-in-time,Point-in-time,3017.595,3763.476,3017.595,3763.476,3,2009-04-01,2017-09-30,560,80,6600,190,61.0166666666667,6.05,4133873.0,4363118.1,94.7458424286063,5.36654656658044,11505020.0,Large,2014,Full (4/4),7526.952,3763.476,Public,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
100560439,INV,2014/12/24,Completed,Additional Stake Purchase,Goldrush Holdings Ltd acquired Trans Hex Group Ltd. The transaction was completed on 12/24/2014. Financial terms of the transaction are undisclosed.,ZAR,Undisclosed,2014/12/24,,24.299999,0.700100,No,Materials,Financials,N,,,Friendly,South Africa,South Africa,Point-in-time,Point-in-time,Point-in-time,Point-in-time,990.427,751.304,606.024023,20.773118,3,2009-04-01,2017-09-30,560,80,6600,190,61.0166666666667,6.05,4133873.0,4363118.1,94.7458424286063,5.36654656658044,11505020.0,Intermediate,2014,Full (4/4),1596.451023,990.427,Public,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
10075015,M&A,2003/1/24,Terminated,Company Takeover,Fairvest Property Holdings Ltd announced the acquisition of Bonatla Property Holdings Ltd for ZAR 177.30M. The transaction was announced on 1/24/2003 and terminated on 5/2/2003.,ZAR,Stock,2003/5/2,,0.000000,100.000000,No,Real Estate,Real Estate,N,,,Friendly,South Africa,South Africa,Point-in-time,MA-screen (current/latest),Point-in-time,MA-screen (current/latest),649.8189697265625,116.39700317382812,3822.85,579.566,2,2001-02-01,2009-03-31,200,30,3500,100,33.675,5.96666666666667,1490399.0,3099254.3,48.0889548172927,6.39575753417796,1787194.0,Large,2003,Full (4/4),4472.668969726563,649.8189697265625,Public,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10082587,M&A,2003/1/27,Completed,"Company Takeover, Additional Stake Purchase",JD Group Ltd/South Africa acquired Profurn Ltd for ZAR 240.67M. The transaction was announced on 1/27/2003 and completed on 4/23/2003.,ZAR,Stock,2003/4/23,5.15,78.800003,21.200001,No,Consumer Discretionary,Consumer Discretionary,N,Feinsteins Attor,Gensec Bank,Friendly,South Africa,South Africa,MA-screen (current/latest),Point-in-time,MA-screen (current/latest),Point-in-time,3497.23,2719.63,4253.0,4083.0,2,2001-02-01,2009-03-31,200,30,3500,100,33.675,5.96666666666667,1490399.0,3099254.3,48.0889548172927,6.39575753417796,1787194.0,Large,2003,Full (4/4),7750.23,3497.23,Public,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
101568253,M&A,2014/10/15,Completed,"Company Takeover, Cross Border, Additional Stake Purchase",Endo International PLC acquired Litha Healthcare Group Ltd for ZAR 461.70M. The transaction was announced on 10/15/2014 and completed on 2/10/2015.,ZAR,Cash,2015/2/10,11.36,70.000000,30.000000,No,Health Care,Health Care,N,,Nedbank Capital,Friendly,South Africa,United States,Point-in-time,Point-in-time,Point-in-time,Point-in-time,1944.3,1045.332,6571.856,2124.681,3,2009-04-01,2017-09-30,560,80,6600,190,61.0166666666667,6.05,4133873.0,4363118.1,94.7458424286063,5.36654656658044,11505020.0,Large,2014,Full (4/4),8516.155999999999,1944.3,Public,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
101824608,INV,2015/1/26,Completed,"Private Equity, Minority Purchase",Public Investment Corp Ltd acquired a minority stake in SPAR Group Ltd/The. The transaction was completed on 1/26/2015. Financial terms of the transaction are undisclosed.,ZAR,Undisclosed,2015/1/26,,0.000000,20.002001,No,Consumer Staples,Financials,N,,,Friendly,South Africa,South Africa,Point-in-time,Point-in-time,Point-in-time,Point-in-time,17122.6,54483.0,1206.976,808.88,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,Large,2015,Full (4/4),55689.976,54483.0,Public,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
101825286,INV,2015/1/26,Completed,"Cross Border, Minority Purchase",Somerset Capital Management LLP acquired a minority stake in Nampak Ltd. The transaction was completed on 1/26/2015. Financial terms of the transaction are undisclosed.,ZAR,Undisclosed,2015/1/26,,0.000000,5.030000,No,Materials,Financials,N,,,Friendly,South Africa,United Kingdom,Point-in-time,Point-in-time,Point-in-time,Point-in-time,21891.1,15305.6,6.61405014235,12.479166883651953,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,Large,2015,Full (4/4),21903.57916688365,21891.1,Public,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
102634716,INV,2015/2/12,Completed,Minority Purchase,Public Investment Corp Ltd acquired a minority stake in Sappi Ltd. The transaction was completed on 2/12/2015. Financial terms of the transaction are undisclosed.,ZAR,Undisclosed,2015/2/12,,0.000000,15.573000,No,Materials,Financials,N,,,Friendly,South Africa,South Africa,Point-in-time,Point-in-time,Point-in-time,Point-in-time,5465.0,6061.0,1206.976,808.88,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,Large,2015,Full (4/4),7267.976000000001,6061.0,Public,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
10263927,M&A,2003/2/11,Completed,"Cross Border, Majority Purchase, Tender Offer",Russell Hobbs Inc acquired Home of Living Brands Holdings Ltd. The transaction was announced on 2/11/2003 and completed on 3/25/2003. Financial terms of the transaction are undisclosed.,ZAR,Cash,2003/3/25,13.90,30.799999,21.200001,No,Consumer Discretionary,Consumer Discretionary,N,,,Friendly,South Africa,United States,Point-in-time,Point-in-time,Point-in-time,Point-in-time,480.7330017089844,862.3380126953125,823.927,922.479,2,2001-02-01,2009-03-31,200,30,3500,100,33.675,5.96666666666667,1490399.0,3099254.3,48.0889548172927,6.39575753417796,1787194.0,Intermediate,2003,Full (4/4),1784.8170126953125,862.3380126953125,Public,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
102768640,M&A,2015/2/16,Completed,Company Takeover,A consortium led by Private Investor sold Set Point Group Ltd to Torre Industries Ltd for ZAR 354.46M. The transaction was announced on 2/16/2015 and completed on 5/1/2015.,ZAR,Stock,2015/5/1,,0.000000,100.000000,No,Industrials,Industrials,N,,,Friendly,South Africa,South Africa,MA-screen (current/latest),Point-in-time,MA-screen (current/latest),Point-in-time,235.593,359.376,956.831,433.13,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,Intermediate,2015,Full (4/4),1316.2069999999999,359.376,Public,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
