Action ID,Deal Type,Announce Date,Target Ticker,Acquirer Ticker,Deal Status,Deal Attributes,Deal Description,Currency of Deal,Payment Type,Completion/Termination Date,Percent Owned,Percent Sought,Has Contingency Payment,Target Industry Sector,Acquirer Industry Sector,Adviser Fees Disclosed,Nature of Bid,Target Country/Region,Acquirer Country/Region,Target Security Description,Acquirer Security Description,Target Security Type,Acquirer Security Type,Financials Fiscal Year (as-at),Target Total Assets,Target Revenue,Acquirer Total Assets,Acquirer Revenue,Announced Total Value (mil.),Financial Variables Present (of 4),Target Limb Driver,Regime No.,Regime Start,Regime End,Intermediate Combined (R'm),Intermediate Target (R'm),Large Combined (R'm),Large Target (R'm),CPI Index (Dec 2024=100),CPI YoY %,Nominal GDP (R million),"Real GDP (R million, 2015 prices)","GDP Deflator (Index, 2015=100)",GDP Deflator YoY %,Market Capitalisation (R million),"Combined Limb Value (best of 4 routes, R'm)","Target Limb Value (max of assets/turnover, R'm)",Classification,Data Completeness,Year
100026324,INV,2014/12/15,DAW SJ,DAW SJ,Completed,Minority Purchase,Ukhamba Holdings Pty Ltd sold a minority stake in Distribution and Warehousing Network Ltd to Distribution and Warehousing Network Ltd. The transaction was completed on 12/15/2014.,ZAR,Cash,2014/12/15,0.000000,32.250000,No,Consumer Discretionary,Consumer Discretionary,N,Friendly,South Africa,South Africa,DAW,DAW,Common Stock,Common Stock,2013,3017.595,3763.476,3017.595,3763.476,664.13,4,Both,3,2009-04-01,2017-09-30,560,80,6600,190,61.0166666666667,6.05,4133873.0,4363118.1,94.7458424286063,5.36654656658044,11505020.0,7526.952,3763.476,Large,Full (4/4),2014
100560439,INV,2014/12/24,TSX SJ,GRSP SJ,Completed,Additional Stake Purchase,Goldrush Holdings Ltd acquired Trans Hex Group Ltd. The transaction was completed on 12/24/2014. Financial terms of the transaction are undisclosed.,ZAR,Undisclosed,2014/12/24,24.299999,0.700100,No,Materials,Financials,N,Friendly,South Africa,South Africa,TSX,GRSP,Common Stock,Preference,2013,990.427,751.304,606.024023,20.773118,,4,Both,3,2009-04-01,2017-09-30,560,80,6600,190,61.0166666666667,6.05,4133873.0,4363118.1,94.7458424286063,5.36654656658044,11505020.0,1596.451023,990.427,Intermediate,Full (4/4),2014
101568253,M&A,2014/10/15,LHG SJ,ENDPQ US,Completed,"Company Takeover, Cross Border, Additional Stake Purchase",Endo International PLC acquired Litha Healthcare Group Ltd for ZAR 461.70M. The transaction was announced on 10/15/2014 and completed on 2/10/2015.,ZAR,Cash,2015/2/10,70.000000,30.000000,No,Health Care,Health Care,N,Friendly,South Africa,United States,LHG,ENDPQ,Common Stock,Common Stock,2013,1944.3,1045.332,6571.856,2124.681,461.70,4,Both,3,2009-04-01,2017-09-30,560,80,6600,190,61.0166666666667,6.05,4133873.0,4363118.1,94.7458424286063,5.36654656658044,11505020.0,8516.155999999999,1944.3,Large,Full (4/4),2014
101824608,INV,2015/1/26,SPP SJ,184023Z SJ,Completed,"Private Equity, Minority Purchase",Public Investment Corp Ltd acquired a minority stake in SPAR Group Ltd/The. The transaction was completed on 1/26/2015. Financial terms of the transaction are undisclosed.,ZAR,Undisclosed,2015/1/26,0.000000,20.002001,No,Consumer Staples,Financials,N,Friendly,South Africa,South Africa,SPP,184023Z,Common Stock,Private Comp,2014,17122.6,54483,1206.976,808.88,,4,Both,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,55689.976,54483.0,Large,Full (4/4),2015
101825286,INV,2015/1/26,NPK SJ,0229878D LN,Completed,"Cross Border, Minority Purchase",Somerset Capital Management LLP acquired a minority stake in Nampak Ltd. The transaction was completed on 1/26/2015. Financial terms of the transaction are undisclosed.,ZAR,Undisclosed,2015/1/26,0.000000,5.030000,No,Materials,Financials,N,Friendly,South Africa,United Kingdom,NPK,0229878D,Common Stock,Private Comp,2014,21891.1,15305.6,6.61405014235,12.479166883651953,,4,Both,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,21903.57916688365,21891.1,Large,Full (4/4),2015
102634716,INV,2015/2/12,SAP SJ,184023Z SJ,Completed,Minority Purchase,Public Investment Corp Ltd acquired a minority stake in Sappi Ltd. The transaction was completed on 2/12/2015. Financial terms of the transaction are undisclosed.,ZAR,Undisclosed,2015/2/12,0.000000,15.573000,No,Materials,Financials,N,Friendly,South Africa,South Africa,SAP,184023Z,Common Stock,Private Comp,2014,5465,6061,1206.976,808.88,,4,Both,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,7267.976000000001,6061.0,Large,Full (4/4),2015
10263927,M&A,2003/2/11,AMA SJ,0544801D US,Completed,"Cross Border, Majority Purchase, Tender Offer",Russell Hobbs Inc acquired Home of Living Brands Holdings Ltd. The transaction was announced on 2/11/2003 and completed on 3/25/2003. Financial terms of the transaction are undisclosed.,ZAR,Cash,2003/3/25,30.799999,21.200001,No,Consumer Discretionary,Consumer Discretionary,N,Friendly,South Africa,United States,AMA,0544801D,Common Stock,Common Stock,2002,480.7330017089844,862.3380126953125,823.927,922.479,,4,Both,2,2001-02-01,2009-03-31,200,30,3500,100,33.675,5.96666666666667,1490399.0,3099254.3,48.0889548172927,6.39575753417796,1787194.0,1784.8170126953125,862.3380126953125,Intermediate,Full (4/4),2003
102805375,M&A,2015/2/17,213619Z SJ,TKG SJ,Withdrawn,"Company Takeover, Cross Border","On 11/19/2015 Telkom withdrew their interest in Cell C. On 11/09/2015, Telkom SA announced that the companies were still in discussions. On 10/29/2015 it was reported that shareholders of Cell C rejected the ZAR 14,000.00M offer from Telkom SA. On 09/23/2015, the CEO of Cell C Pty Ltd stated ...",ZAR,Undisclosed,2015/11/19,0.000000,100.000000,No,Communications,Communications,N,Friendly,South Africa,South Africa,213619Z,TKG,Private Comp,Common Stock,2014,15475.813,11634.148,39405,31288,13999.94,4,Both,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,54880.813,15475.813,Large,Full (4/4),2015
103008079,INV,2015/2/23,AIP SJ,BVT SJ,Completed,Additional Stake Purchase,Bidvest Group Ltd/The acquired Adcock Ingram Holdings Ltd for ZAR 299.74M. The transaction was announced on 2/23/2015 and completed on 5/18/2015.,ZAR,Cash,2015/5/18,33.720001,3.280000,No,Health Care,Consumer Staples,N,Friendly,South Africa,South Africa,AIP,BVT,Common Stock,Common Stock,2014,5405.842,,80975.47,161612.418,299.74,3,Assets only,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,167018.26,5405.842,Large,Partial (3/4),2015
103063244,M&A,2015/2/24,AIA SJ,REB SJ,Completed,"Company Takeover, Additional Stake Purchase",Rebosis Property Fund Ltd acquired Ascension Properties Ltd for ZAR 2487.52M. The transaction was announced on 2/24/2015 and completed on 4/25/2017.,ZAR,Stock,2017/4/25,33.869999,66.129997,No,Real Estate,Real Estate,N,Friendly,South Africa,South Africa,AIA,REB,REIT,REIT,2014,3823.853,353.101,7852.361,884.378,2487.52,4,Both,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,11676.214,3823.853,Large,Full (4/4),2015
104477899,INV,2015/3/18,AVV SJ,IVZ US,Completed,"Cross Border, Additional Stake Purchase",Invesco Ltd acquired Alviva Holdings Ltd. The transaction was completed on 3/18/2015. Financial terms of the transaction are undisclosed.,ZAR,Undisclosed,2015/3/18,14.440000,0.810000,No,Consumer Discretionary,Financials,N,Friendly,South Africa,United States,AVV,IVZ,Common Stock,Common Stock,2014,3346.679,7152.444,20450,5147.1,,4,Both,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,27602.444,7152.444,Large,Full (4/4),2015
106151682,INV,2015/4/29,MRF SJ,GLEN LN,Completed,"Cross Border, Minority Purchase",Royal Bafokeng Platinum Ltd sold a minority stake in Merafe Resources Ltd to Glencore PLC. The transaction was completed on 4/29/2015. Financial terms of the transaction are undisclosed.,ZAR,Undisclosed,2015/4/29,0.000000,28.680000,No,Materials,Materials,N,Friendly,South Africa,Switzerland,MRF,GLEN,Common Stock,Common Stock,2014,5401.147,3609.066,152205,221073,,4,Both,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,226474.147,5401.147,Large,Full (4/4),2015
106890033,INV,2015/5/13,SNT SJ,SNT SJ,Pending,Minority Purchase,Central Plaza Investments 112 Pty Ltd announced the sale of a minority stake in Santam Ltd to Santam Ltd. The transaction was announced on 5/13/2015 and is currently pending.,ZAR,Cash,,0.000000,3.530000,No,Financials,Financials,N,Friendly,South Africa,South Africa,SNT,SNT,Common Stock,Common Stock,2014,25184,19434,25184,19434,800.85,4,Both,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,50368.0,25184.0,Large,Full (4/4),2015
107941646,INV,2015/6/8,RMH SJ,184023Z SJ,Completed,Additional Stake Purchase,Public Investment Corp Ltd acquired RMB Holdings Ltd. The transaction was completed on 6/8/2015. Financial terms of the transaction are undisclosed.,ZAR,Undisclosed,2015/6/8,9.987000,0.044000,No,Financials,Financials,N,Friendly,South Africa,South Africa,RMH,184023Z,Common Stock,Private Comp,2014,33566,0,1206.976,808.88,,4,Assets only,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,34772.976,33566.0,Large,Full (4/4),2015
108021185,INV,2015/6/9,NPK SJ,LAZ US,Completed,"Cross Border, Minority Purchase",Lazard Inc acquired a minority stake in Nampak Ltd. The transaction was completed on 6/9/2015. Financial terms of the transaction are undisclosed.,ZAR,Undisclosed,2015/6/9,0.000000,10.040000,No,Materials,Financials,N,Friendly,South Africa,United States,NPK,LAZ,Common Stock,Common Stock,2014,21891.1,15305.6,3332.236,2363.017,,4,Both,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,25223.336,21891.1,Large,Full (4/4),2015
108135892,M&A,2015/6/11,IRA SJ,AFT SJ,Completed,"Company Takeover, Additional Stake Purchase",Afrimat Ltd acquired Infrasors Holdings Ltd for ZAR 19.22M. The transaction was announced on 6/11/2015 and completed on 10/13/2015.,ZAR,Cash,2015/10/13,91.279999,8.720000,No,Materials,Materials,N,Friendly,South Africa,South Africa,IRA,AFT,Common Stock,Common Stock,2014,326.506,327.51,1479.417249,1901.187222,19.22,4,Both,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,2228.697222,327.51,Intermediate,Full (4/4),2015
10823834,M&A,2003/3/3,AHV SJ,CRH SJ,Completed,"Company Takeover, Additional Stake Purchase, Tender Offer",Coronation Holdings Ltd acquired African Harvest Ltd for ZAR 137.81M. The transaction was announced on 3/3/2003 and completed on 7/8/2003.,ZAR,Cash,2003/7/8,75.000000,25.000000,No,Financials,Financials,N,Friendly,South Africa,South Africa,AHV,CRH,Common Stock,Common Stock,2002,680.291015625,38.356998443603516,7026,1383,137.81,4,Assets only,2,2001-02-01,2009-03-31,200,30,3500,100,33.675,5.96666666666667,1490399.0,3099254.3,48.0889548172927,6.39575753417796,1787194.0,7706.291015625,680.291015625,Large,Full (4/4),2003
108247445,BUY,2015/6/15,CMH SJ,CMH SJ,Completed,,,ZAr,,2015/7/3,0.000000,0.000000,,Consumer Discretionary,Consumer Discretionary,N,,South Africa,,CMH,CMH,Common Stock,Common Stock,2014,2574.11,10703.616,2574.11,10703.616,2.50,4,Both,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,21407.232,10703.616,Large,Full (4/4),2015
108682908,M&A,2015/6/24,CCL SJ,WTC AU,Completed,"Company Takeover, Cross Border, Additional Stake Purchase",WiseTech Global Ltd acquired Compu-Clearing Outsourcing Ltd for ZAR 176.97M. The transaction was announced on 6/24/2015 and completed on 9/22/2015.,ZAR,Cash,2015/9/22,23.500000,76.500000,No,Technology,Technology,N,Friendly,South Africa,Australia,CCL,WTC,Common Stock,Common Stock,2014,66.281,71.968,,60.60752183908047,176.98,3,Neither,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,132.57552183908047,71.968,Small,Partial (3/4),2015
108732382,M&A,2015/6/25,ADH SJ,COH SJ,Terminated,Company Takeover,Curro Holdings Ltd announced the acquisition of Advtech Ltd for ZAR 6712.98M. The transaction was announced on 6/25/2015 and terminated on 7/29/2015.,ZAR,Cash or Stock,2015/7/29,0.000000,100.000000,No,Consumer Discretionary,Consumer Discretionary,N,Unsolicited,South Africa,South Africa,ADH,COH,Common Stock,Common Stock,2014,1960.2,1931.8,4144.001,1000.701,6713.01,4,Both,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,6104.201,1960.2,Intermediate,Full (4/4),2015
