Deal Type,Announce Date,Target Name,Acquirer Name,Announced Total Value (mil.),Deal Status,Target Industry Sector,Acquirer Industry Sector,Target Sales/Revenue/Turnover,Acquirer Sales/Revenue/Turnover,Target Total Assets,Acquirer Total Assets
"AST",2019/5/1,"African oil & gas exploration business","Potential Buyer",43110.30,"Withdrawn","Energy","N.A.",,,,
"AST",2022/8/23,"Upstream African Assets/Petroliam Nasional Bhd","Potential Buyer",50903.70,"Withdrawn","Consumer Staples","N.A.",,,,
"AST",2015/3/4,"Towers in South Africa","IHS Holding Ltd",23621.80,"Withdrawn","N.A.","Industrials",,28285.3,,74378.8
"INV",2015/1/9,"ACTOM Pty Ltd","Potential Buyer",17374.08,"Withdrawn","Industrials","N.A.",,,,
"INV",2018/6/11,"Vodacom Group Ltd","Thebe Investment Corp Pty Ltd,Private Investor,Royal Bafokeng Holdings Pty Ltd,Yeboyethu Ltd",17499.96,"Withdrawn","Communications","Financials, Financials, Financials",167652,,276433,
"M&A",2015/2/17,"Cell C Ltd","Telkom SA SOC Ltd",13999.94,"Withdrawn","Communications","Communications",15749.1,44477,25636.3,64418
"M&A",2024/10/28,"ArcelorMittal South Africa Ltd","Networth Investments Pty Ltd",19000.07,"Withdrawn","Materials","Financials",32291,,21126,
"M&A",2018/9/13,"Chevron South Africa Pty Ltd","Off The Shelf Investments Fifty Six RF Pty Ltd",14811.80,"Withdrawn","Energy","Financials",,,,
"M&A",2017/2/22,"Cell C Ltd","Telkom SA SOC Ltd",13055.20,"Withdrawn","Communications","Communications",15749.1,44477,25636.3,64418
"M&A",2017/3/22,"Mercantile Bank Ltd/South Africa","National Empowerment Fund",12200.06,"Withdrawn","Financials","Financials",,,,
"M&A",2022/8/11,"Telkom SA SOC Ltd","Rain pty ltd",14079.20,"Withdrawn","Communications","Communications",44477,,64418,
"M&A",2017/6/9,"Vast Networks Pty Ltd","Potential Buyer",10278.96,"Withdrawn","Communications","N.A.",,,,
"M&A",2016/11/14,"PPC Ltd","AfriSam South Africa Pty Ltd",9894.67,"Withdrawn","Materials","Materials",10255,6843.75,10106,17859.6
"M&A",2018/6/18,"Public Investment Corp Ltd","Private Investor",5999.97,"Withdrawn","Financials","N.A.",1261.76,,4617.25,
"M&A",2018/6/18,"Karan Beef Pty Ltd","Management Group",5999.97,"Withdrawn","Consumer Staples","N.A.",,,,
"INV",2016/4/22,"Vodacom Group Ltd","Potential Buyer",5999.96,"Withdrawn","Communications","N.A.",167652,,276433,
"AST",2020/3/9,"Battery business/Metair Investment Ltd","Potential Buyer",5584.29,"Withdrawn","Technology","N.A.",,,,
"AST",2015/7/23,"2 Australian Retailer Sites","Potential Buyer",3667.97,"Withdrawn","Consumer Staples","N.A.",,,,
"AST",2021/10/28,"Amplats Mine/Anglo American Platinum Ltd","African Rainbow Minerals Ltd",3500.01,"Withdrawn","Materials","Materials",,11709,,74325
"M&A",2019/7/31,"Tegeta Exploration & Resources Pty Ltd","Project Halo",3049.99,"Withdrawn","Materials","Materials",,,,
"M&A",2019/7/22,"Safari Investments RSA Ltd","Futuregrowth Asset Management Pty Ltd",2610.87,"Withdrawn","Consumer Discretionary","Financials",627.502,,4581.11,
"INV",2022/3/8,"Yoco Technologies Pty Ltd","Potential Buyer",2290.05,"Withdrawn","Technology","N.A.",,,,
"M&A",2015/5/11,"Bokoni PGM Mine","Baroka Tribal Mining",1800.01,"Withdrawn","Unclassifiable","Materials",,,,
"AST",2019/1/11,"Certain operations/Lancet Laboratories Ltd","Partners Group Holding AG",1694.92,"Withdrawn","Health Care","Financials",,53044.2,,133375
"M&A",2019/9/6,"Metrofile Holdings Ltd","Housatonic Partners",1464.71,"Withdrawn","Technology","Financials",1066.13,,1379.22,
"AST",2015/12/31,"Buzi EPCC Block in Mozambique","Potential Buyer",1490.61,"Withdrawn","N.A.","N.A.",,,,
"AST",2016/10/24,"Retail warehouse properties/Johannesburg","Accelerate Property Fund Ltd",1243.63,"Withdrawn","Real Estate","Real Estate",,678.938,,6843.37
"M&A",2016/4/20,"KWV Holdings Ltd","Potential Buyer",1150.00,"Withdrawn","Consumer Staples","N.A.",,,,
"AST",2016/10/4,"Non-core office properties","Potential Buyer",1000.01,"Withdrawn","Real Estate","N.A.",,,,
"AST",2026/2/3,"Erf 596 Sandown Extension 38 Township/Gauteng Province","Pareto Ltd,Southern Sun Ltd",1102.00,"Withdrawn","Industrials","Financials, Consumer Discretionary",,,,
"INV",2022/3/28,"Tetra4 Pty Ltd","Central Energy Fund",1000.00,"Withdrawn","Energy","Financials",,,,
"AST",2015/2/26,"14 hotel properties","Potential Buyer",650.00,"Withdrawn","N.A.","N.A.",,,,
"M&A",2016/7/6,"Sovereign Food Investments Ltd","Country Bird Holdings Ltd",738.76,"Withdrawn","Consumer Staples","Consumer Staples",2163.68,3586.38,1558.11,1841.06
"M&A",2019/10/31,"Rolfes Holdings Ltd","Phatisa Group Ltd",712.20,"Withdrawn","Materials","Financials",1532.53,,874.388,
"AST",2014/11/10,"Ellerines 77 stores and brands/5 African countries","Unnamed Buyer",400.00,"Withdrawn","N.A.","N.A.",,,,
"AST",2023/5/15,"63000 sq mtr distribution centre/Gauteng","Dis-Chem Pharmacies Ltd",502.00,"Withdrawn","Real Estate","Consumer Staples",,42825.8,,20738.3
"M&A",2020/6/24,"Sun International Ltd/South Africa","Nueva Inversiones Pacifico Sur Ltda",450.01,"Withdrawn","Consumer Discretionary","Industrials",12979,,13642,
"M&A",2014/11/13,"Respublica Pty Ltd","Redefine Properties Ltd",204.00,"Withdrawn","Real Estate","Real Estate",,11007.4,,106323
"M&A",2015/8/19,"Mapochs Mine Pty Ltd","Potential Buyer",129.41,"Withdrawn","Materials","N.A.",,,,
"M&A",2018/6/5,"Wepex Geotechnical Pty Ltd","BUKA INVESTMENTS LTD",108.00,"Withdrawn","Industrials","Consumer Discretionary",,19.004,,3.521
"AST",2022/8/26,"Certain disclosed assets & liabilities/Ubank Ltd","African Bank Holdings Ltd",80.00,"Withdrawn","Financials","Financials",,7706,,49341
"AST",2024/7/8,"Multimillion Rand building/Pretoria","Gauteng Department Of Housing",70.00,"Withdrawn","Real Estate","Real Estate",,,,
"INV",2025/9/16,"Visual International Holdings Ltd","Serowe Industries Pty Ltd",60.00,"Withdrawn","Real Estate","Financials",1.76903,,48.1365,
"INV",2022/1/12,"WiSolar","Potential Buyer",45.00,"Withdrawn","Energy","N.A.",,,,
"M&A",2023/3/6,"Jasco Electronics Holdings Ltd","Community Investment Holdings Pty Ltd",26.24,"Withdrawn","Technology","Financials",673.343,,408.997,
"INV",2023/9/29,"Interactive Television Africa Pty Ltd","Telemedia Pty Ltd",17.94,"Withdrawn","Communications","Technology",,,,
"M&A",2023/12/7,"CynoTech Pty Ltd","White Pearl Technologies AB",1.99,"Withdrawn","Technology","Financials",,931.768,,588.923
"M&A",2019/6/7,"Table Bay Area Rapid Transport Pty Ltd","Frontier Transport Holdings Lt",N/A,"Withdrawn","Industrials","Industrials",,2840.97,,3333.33
"AST",2019/5/17,"Bokoni & Twickenham Mines/SA","Potential Buyer",N/A,"Withdrawn","Materials","N.A.",,,,
"AST",2019/5/24,"Idled gold mine/Zimbabwe","B2Gold Corp",N/A,"Withdrawn","Materials","Materials",,54733.2,,97402
"AST",2019/5/29,"License in oil-block stake/South Africa","Shell PLC",N/A,"Withdrawn","Energy","Energy",,4.77177e+06,,6.13557e+06
"AST",2019/9/18,"South African coal mining business","Potential Buyer",N/A,"Withdrawn","Materials","N.A.",,,,
"AST",2019/9/19,"Warehouse logistics unit Supply Chain","Potential Buyer",N/A,"Withdrawn","Real Estate","N.A.",,,,
"INV",2019/8/2,"Virgin Active Ltd","Potential Buyer",N/A,"Withdrawn","Consumer Discretionary","N.A.",3121.84,,11402.4,
"INV",2019/8/5,"Twenty Third Century Systems South Africa Pty Ltd","Potential Buyer",N/A,"Withdrawn","Technology","N.A.",,,,
"M&A",2019/8/7,"Calulo Marine Pty Ltd","FFS Calpet RF Pty Ltd",N/A,"Withdrawn","Energy","Energy",,,,
"M&A",2020/8/12,"South African Airways","Potential Buyer",N/A,"Withdrawn","Industrials","N.A.",28120,,13376,
"INV",2020/8/20,"Sanlam Investment Holdings Pty Ltd","African Rainbow Capital Investments Ltd",N/A,"Withdrawn","Financials","Financials",,2557,,21129
"M&A",2019/1/24,"MTN Uganda Ltd","National Social Security Fund/Uganda",N/A,"Withdrawn","Communications","Government",17887.8,,24556.6,
"INV",2019/2/6,"GroCapital Holdings Ltd","Atlas Mara Ltd",N/A,"Withdrawn","Financials","Financials",,4556.5,,36721.5
"INV",2019/2/26,"Shoprite Holdings Ltd","Shoprite Holdings Ltd",N/A,"Withdrawn","Consumer Staples","Consumer Staples",256682,256682,124944,124944
"AST",2019/2/28,"Health-insurance business/ East & West Africa","Potential Buyer",N/A,"Withdrawn","Financials","N.A.",,,,
"AST",2020/1/9,"2 oil blocks/Ugandan Border","Potential Buyer",N/A,"Withdrawn","Energy","N.A.",,,,
"AST",2020/2/3,"South African Cement Unit/LafargeHolcim Ltd","Potential Buyer",N/A,"Withdrawn","Materials","N.A.",,,,
"AST",2020/2/20,"Leeuwpan Coal Mine operation","Potential Buyer",N/A,"Withdrawn","Materials","N.A.",,,,
"M&A",2020/6/3,"Probuild Construction Group Pty Ltd","Potential Buyer",N/A,"Withdrawn","Industrials","N.A.",,,,
"AST",2020/6/23,"Simandou iron ore project/Guinea","China Baowu Steel Group Corp Ltd,Shougang Group Co Ltd,China Minmetals Corp",N/A,"Withdrawn","Materials","Materials, Materials, Industrials",,,,
"M&A",2020/4/15,"Office Retail Group Ltd","Potential Buyer",N/A,"Withdrawn","Financials","N.A.",,,39.5773,
"AST",2020/4/16,"African renewable business/Enel SpA","Potential Buyer",N/A,"Withdrawn","Energy","N.A.",,,,
"AST",2020/12/2,"Epsom Downs shopping centre","Potential Buyer",N/A,"Withdrawn","Real Estate","N.A.",,,,
"AST",2020/12/3,"3 small brokerages","Alexander Forbes Group Holdings Ltd",N/A,"Withdrawn","Financials","Financials",,6518,,567786
"INV",2022/3/2,"Waterway House Section Two Pty Ltd","Twin City Western Cape Pty Ltd",N/A,"Withdrawn","Financials","Real Estate",,,,
"M&A",2022/3/9,"Ovobix RF Pty Ltd,Luxanio 227 Pty Ltd","Lesaka Technologies Inc",N/A,"Withdrawn","Consumer Discretionary, Consumer Discretionary","Financials",,11987.1,,11585.4
"M&A",2022/3/15,"Main Street 1883 Pty Ltd","Shoprite Checkers Pty Ltd",N/A,"Withdrawn","Industrials","Consumer Staples",,,,
"INV",2022/3/17,"Metro Fibre Networx Pty Ltd","Potential Buyer",N/A,"Withdrawn","Communications","N.A.",,,,
"M&A",2022/3/17,"Cure-Chem South Africa Pty Ltd","ETG Chem FZE LLC",N/A,"Withdrawn","Materials","Financials",,,,
"M&A",2022/1/27,"Masimong Group Holdings Pty Ltd","Sabvest Capital Ltd",N/A,"Withdrawn","Financials","Financials",,140.002,,6058.14
"AST",2022/2/23,"Distribution Assets/Eskom Holdings SOC Ltd","Potential Buyer",N/A,"Withdrawn","Utilities","N.A.",,,,
"AST",2022/4/21,"Portfolio of industrial properties/Epping","Rex Trueform Group Ltd",N/A,"Withdrawn","Real Estate","Consumer Discretionary",,681.481,,1242.97
"AST",2022/4/22,"South African banking business/Grindrod Ltd","Potential Buyer",N/A,"Withdrawn","Financials","N.A.",,,,
"M&A",2021/4/29,"Actom Investment Holdings Pty Ltd","Old Mutual Ltd",N/A,"Withdrawn","Industrials","Financials",,137675,,1.36792e+06
"AST",2021/5/10,"Retail pharmacy business/Pick n Pay Stores Ltd","Clicks Group Ltd",N/A,"Withdrawn","Consumer Staples","Consumer Staples",,47828.1,,22591.9
"AST",2021/5/21,"Asset management unit/Absa Group Ltd","Sanlam Ltd,African Rainbow Capital Investments Ltd",N/A,"Withdrawn","Financials","Financials, Financials",,,,
"M&A",2021/2/10,"Bytes Document Solutions,Arrow Altech Distribution Pty Ltd,Bytes People Solutions Pty Ltd","Potential Buyer",N/A,"Withdrawn","Consumer Discretionary, Consumer Discretionary, Technology","N.A.",,,,
"AST",2021/2/16,"Brits Mall,Circus Triangle,Diamond Pavilion,Highveld Mall,Jabulani Mall,Mvusuludzo Mall,Tubatse Crossing","Government Employees Pension Fund",N/A,"Withdrawn","Real Estate, Real Estate, Real Estate, Real Estate, Real Estate, Real Estate, Real Estate","Financials",,,,
"AST",2021/2/17,"Portfolio of domestic retail centres","Potential Buyer",N/A,"Withdrawn","Real Estate","N.A.",,,,
